"NUTS 3","Urban Code","City","City code","GDP","Employment","Population   (1-5)","Population            (XXL - S-M)","Sights & landmarks","Museums","Cinema seats","Concerts & shows","Theatres","Tourist overnight stays ","Museum visitors","Cinema attendance","Satisfaction with cultural facilities","Jobs in arts, culture & entertainment   ","Jobs in media & communication","Jobs in other creative sectors","ICT patent applications","Community design applications","Jobs in new arts, culture & entertainment enterprises","Jobs in new media & communication enterprises ","Jobs in new enterprises in other creative sectors","Graduates in arts and humanities","Graduates in ICT ","Average appearances in university rankings ","Foreign graduates","Foreign-born population","Tolerance of foreigners","Integration of foreigners","People trust","Passenger flights ","Potential road accessibility","Direct trains to other cities "," Quality of governance","Capital","Reason chosen","Cultural Vibrancy","Creative economy","Enabling environment","Overall","D1.1 Cultural Venues & Facilities","D1.2 Cultural Participation & Attractiveness","D2.1 Creative & Knowledge-based Jobs","D2.2 Intellectual Property & Innovation","D2.3 New Jobs in Creative Sectors","D3.1 Human Capital & Education","D3.2 Openness, Tolerance & Trust ","D3.3 Local & International Connections","D3.4 Quality of Governance"
"CH031","CH003C1","Basel","19","1","3","4","S-M","42.4","61.3","51.6","59.7","77.7","26.2","63.0","37.5","36.7","85.2","31.4","87.2","32.6","45.2","22.4","26.9","21.7","15.2","5.4","31.2","31.6","73.1","50.9","23.3","68.1","32.6","92.8","36.2","84.4","No","At least two international cultural festivals","51.57","44.41","38.99","46.19","60.21","42.92","67.92","38.93","23.63","17.30","49.41","53.87","84.43"
"CH040","CH001C1","Zurich","20","1","1","3","L","16.9","40.5","46.0","28.9","46.5","29.2","21.8","46.9","80.0","92.5","100.0","100.0","58.8","33.5","27.8","47.8","50.0","26.3","31.7","64.6","26.4","71.0","55.6","20.0","59.4","37.5","82.1","34.1","73.3","No","At least two international cultural festivals","42.09","64.98","46.29","52.09","37.51","46.67","97.49","46.14","41.88","40.88","46.47","51.22","73.31"
"CY000","CY001C1","Nicosia","21","4","4","4","S-M","74.7","82.2","26.6","45.6","58.6","8.3","4.6","25.3","7.8","13.7","8.1","17.0","0.3","18.6","17.2","15.3","16.0","10.1","30.1","0.0","69.7","28.1","7.4","20.0","31.2","3.6","0.0","0.0","64.9","Yes","European Capital of Culture","32.13","13.53","21.31","22.53","52.30","11.97","12.93","9.45","16.17","13.42","31.30","1.21","64.88"
"CY000","CY501C1","Limassol","22","4","4","4","S-M","72.8","39.6","26.6","34.8","58.6","8.3","4.6","25.3","7.1","13.7","8.1","17.0","0.3","18.6","17.2","15.3","16.0","2.0","0.8","0.0","59.5","28.1","7.4","20.0","62.5","4.9","0.0","0.0","64.9","No","At least two international cultural festivals","27.92","13.53","18.06","20.19","44.06","11.77","12.93","9.45","16.17","0.91","35.51","1.63","64.88"
"CZ010","CZ001C1","Prague","23","2","1","1","XXL","34.8","74.7","24.2","91.4","52.9","40.8","18.7","2.9","67.1","40.3","39.2","37.1","4.3","32.1","33.6","40.1","90.8","11.3","0.0","31.2","56.7","26.7","18.5","13.3","6.2","11.8","89.4","6.9","51.9","Yes","European Capital of Culture","43.49","41.13","23.4","38.53","55.80","31.18","38.89","18.21","54.85","14.18","24.30","36.06","51.90"
"CZ032","CZ004C1","Pilsen","24","5","1","4","S-M","22.7","9.9","31.5","12.6","52.9","5.4","5.3","2.2","16.7","31.4","10.2","24.1","2.0","5.6","22.4","2.6","11.7","17.3","31.9","0.0","3.0","16.6","14.8","18.3","20.3","11.8","86.1","9.2","56.5","No","European Capital of Culture","18","14.41","20.58","17.08","28.34","7.67","21.90","3.77","12.24","16.40","14.60","35.70","56.49"
"CZ041","CZ013C1","Karlovy Vary","25","5","5","5","S-M","59.8","22.3","11.2","32.2","32.7","100.0","3.0","11.1","35.2","22.4","9.6","13.6","0.8","3.3","30.0","12.7","10.4","0.0","0.0","0.0","0.0","25.3","14.8","18.3","37.0","7.6","85.4","11.3","40.8","No","At least two international cultural festivals","28.81","13.58","14.89","19.93","29.26","28.36","15.21","2.05","17.72","0.00","19.08","34.81","40.80"
"CZ064","CZ002C1","Brno","26","5","1","3","L","17.2","11.0","13.2","20.3","34.5","5.4","8.4","1.5","35.2","13.4","11.1","18.5","4.1","18.9","23.1","13.0","15.2","29.0","0.0","4.2","31.4","15.4","14.8","18.3","17.2","2.2","83.4","9.7","58.1","No","At least two international cultural festivals","17.09","14.86","19.86","16.75","20.51","13.66","14.31","11.49","17.10","11.06","19.42","31.79","58.11"
"CZ080","CZ003C1","Ostrava","27","5","3","3","L","4.5","3.2","15.0","3.1","16.6","3.3","2.1","3.6","48.6","28.2","12.4","20.8","0.2","9.5","18.9","2.6","13.8","10.0","37.9","0.0","6.6","12.9","11.1","23.3","15.6","0.4","80.5","15.7","48.9","No","European Capital of Culture","12.8","13.86","19.23","14.51","9.64","15.96","20.48","4.85","11.75","15.97","13.92","32.20","48.86"
"DE111","DE007C1","Stuttgart","28","1","1","2","XL","9.1","9.4","28.9","20.2","18.8","21.3","29.6","22.1","63.7","62.2","44.2","66.8","92.2","100.0","26.7","49.3","25.0","9.8","28.6","27.1","24.1","51.6","52.3","18.3","85.0","17.6","95.2","30.0","82.1","No","At least two international cultural festivals","27.66","55.77","38.47","41.07","19.31","36.00","57.71","96.11","33.65","21.80","46.26","47.58","82.09"
"DE123","DE035C1","Karlsruhe","29","1","1","3","L","5.3","5.2","26.0","8.8","10.9","12.1","20.5","32.5","42.9","43.1","63.6","47.7","73.5","34.8","27.8","47.8","50.0","13.6","80.8","27.1","17.4","38.9","52.3","18.3","33.4","62.5","94.7","37.5","82.1","No","At least two international cultural festivals","20.93","48.17","42.86","36.21","12.74","29.12","51.47","54.17","41.88","40.52","32.06","64.87","82.09"
"DE125","DE522C1","Heidelberg","30","2","1","4","S-M","25.3","21.8","0.0","20.1","10.7","30.8","100.0","27.4","62.4","38.8","24.5","45.1","86.7","31.8","30.9","20.8","21.6","76.1","45.0","33.3","8.7","47.3","52.3","18.3","30.9","63.4","94.7","52.9","82.1","No","UNESCO Creative City","36.1","36.08","47.84","38.44","13.58","58.62","36.14","59.25","24.43","51.46","31.50","70.34","82.09"
"DE126","DE502C1","Mannheim","31","1","1","3","L","8.9","3.2","23.4","17.7","5.5","14.2","15.7","34.2","42.9","37.5","20.6","56.4","36.0","41.9","27.8","47.8","50.0","8.0","27.2","4.2","27.6","51.8","52.3","18.3","33.4","64.4","95.6","59.7","82.1","No","UNESCO Creative City","20.85","39.8","35","31.26","13.17","28.53","38.15","38.93","41.88","13.12","36.66","73.22","82.09"
"DE212","DE003C1","Munich","32","1","1","1","XXL","10.9","10.5","13.6","15.7","11.0","37.5","32.9","19.8","71.4","54.4","52.7","62.6","100.0","79.6","28.5","43.3","29.5","12.9","12.5","64.6","57.1","47.9","63.0","33.3","81.2","42.4","93.5","9.2","83.6","No","At least two international cultural festivals","26.79","54.09","46.03","41.56","12.74","40.85","56.55","89.79","33.78","29.97","56.51","48.38","83.57"
"DE254","DE014C1","Nuremberg","33","1","1","3","L","15.0","14.6","22.5","18.1","9.8","21.3","27.4","26.6","42.9","43.2","50.7","53.4","82.0","31.9","27.8","47.8","50.0","3.5","16.5","29.2","87.8","52.8","52.3","18.3","33.4","40.8","92.3","26.5","83.6","No","At least two international cultural festivals","23.5","47.79","38.27","36.17","16.31","30.69","49.12","56.96","41.88","16.37","48.91","53.22","83.57"
