"NUTS 3","Urban Code","Country","City","City code","GDP","Employment","Population (1-5)","Population (XXL - S-M)","Capital","Reason chosen","Cultural Vibrancy","Creative economy","Enabling environment","Overall","D1.1 Cultural Venues & Facilities","D1.2 Cultural Participation & Attractiveness","D2.1 Creative & Knowledge-based Jobs","D2.2 Intellectual Property & Innovation","D2.3 New Jobs in Creative Sectors","D3.1 Human Capital & Education","D3.2 Openness, Tolerance & Trust ","D3.3 Local & International Connections","D3.4 Quality of Governance"
"FR715","FR011C1","FR","Saint-Etienne","73","4","4","3","L","No","UNESCO Creative City","15.38","14.76","26.56","17.37","14.16","16.59","13.95","14.93","15.47","9.45","34.06","34.62","79.39"
"FR716","FR003C2","FR","Lyon","74","1","3","1","XXL","No","European Capital of Culture","31.61","27.74","31.16","29.97","22.39","40.83","29.78","20.66","29.23","23.43","29.96","39.45","77.69"
"FR813","FR010C1","FR","Montpellier","75","3","5","3","L","No","At least two international cultural festivals","21.05","24.26","38.78","25.88","16.76","25.35","27.28","10.78","27.98","48.28","27.51","32.59","71.46"
"FR824","FR203C1","FR","Marseilles","76","2","5","1","XXL","No","European Capital of Culture","17.41","22.55","25.14","21.01","16.82","17.99","17.90","20.38","28.29","25.01","17.63","32.57","63.92"
"FR826","FR039C2","FR","Avignon","77","3","5","4","S-M","No","European Capital of Culture","33.5","21.22","29.31","27.75","37.40","29.61","19.90","8.39","28.97","17.24","33.01","40.06","63.92"
"HR031","HR002C1","HR","Rijeka","78","4","4","4","S-M","No","European Capital of Culture","21.2","14.51","28.86","20.06","31.41","10.99","12.93","13.88","16.42","7.17","50.93","27.39","30.24"
"HR035","HR005C1","HR","Split","79","5","5","4","S-M","No","At least two international cultural festivals","20.91","9.94","30.59","18.46","25.78","16.03","11.22","4.08","11.59","22.43","41.58","23.17","30.24"
"HR041","HR001C1","HR","Zagreb","80","3","4","2","XL","Yes","At least two international cultural festivals","22.67","28.57","26.34","25.76","30.50","14.84","30.30","12.77","34.75","6.72","44.42","28.02","33.60"
"HR04B","HR004C1","HR","Osijek","81","5","5","4","S-M","No","European Capital of Culture","18.76","7.51","31.51","16.81","25.41","12.11","8.05","4.08","8.69","22.43","43.02","24.31","33.60"
"HU101","HU001C1","HU","Budapest","82","2","3","1","XXL","Yes","UNESCO Creative City","31.53","31.15","25.95","30.26","28.07","34.99","30.07","8.67","43.48","16.54","31.71","30.35","42.07"
"HU221","HU007C1","HU","Győr","83","4","3","4","S-M","No","At least two international cultural festivals","22.48","12.84","21.95","18.52","21.28","23.67","14.60","6.49","14.26","1.97","30.71","42.18","51.01"
"HU231","HU004C1","HU","Pécs","84","5","5","4","S-M","No","European Capital of Culture","19.25","12.55","22.51","17.22","22.73","15.76","17.25","4.04","12.10","9.29","30.87","25.96","51.01"
"HU333","HU006C1","HU","Szeged","85","5","4","4","S-M","No","At least two international cultural festivals","16.58","13.44","31.06","18.22","15.15","18.01","18.97","3.88","12.69","27.91","34.23","25.93","46.34"
"IE013","IE004C1","IE","Galway","86","3","4","5","S-M","No","European Capital of Culture","46.74","19.77","49.38","36.48","64.56","28.91","22.37","9.85","22.14","54.56","50.44","22.39","80.40"
"IE021","IE001C1","IE","Dublin","87","1","3","2","XL","Yes","European Capital of Culture","46.51","33.71","49.67","42.02","54.53","38.49","37.59","20.72","36.33","36.85","54.02","63.13","77.00"
"IE023","IE003C1","IE","Limerick","88","3","5","5","S-M","No","European Capital of Culture","40.5","16.29","43.37","31.39","52.15","28.84","20.37","6.73","16.98","47.66","42.75","22.40","77.00"
"IE024","IE005C1","IE","Waterford","89","4","5","5","S-M","No","European Capital of Culture","39.13","20.32","31.95","30.17","40.53","37.74","20.94","6.06","26.83","13.28","48.69","22.05","77.00"
"IE025","IE002C1","IE","Cork","90","1","4","4","S-M","No","European Capital of Culture","59.24","20.55","42.1","40.34","70.09","48.39","24.27","9.41","22.39","40.08","47.61","21.17","77.00"
"ITC11","IT004C1","IT","Turin","91","3","4","2","XL","No","UNESCO Creative City","27.77","22.01","22.28","24.37","35.20","20.33","33.65","15.60","13.57","21.07","14.38","39.13","44.64"
"ITC33","IT006C1","IT","Genoa","92","3","4","2","XL","No","European Capital of Culture","27.67","20.22","18.87","22.93","36.74","18.60","32.37","14.55","10.92","11.96","16.98","35.23","40.14"
"ITC47","IT029C1","IT","Brescia","93","3","4","4","S-M","No","At least two international cultural festivals","21.99","22.37","17.74","21.29","25.97","18.02","38.25","16.68","9.34","3.77","18.42","43.34","47.18"
"ITC4C","IT002C1","IT","Milan","94","1","2","1","XXL","No","At least two international cultural festivals","41.08","37.02","36.35","38.51","31.84","50.31","53.94","28.15","24.53","47.67","17.79","52.05","47.18"
"ITF33","IT003C1","IT","Naples","95","5","5","2","XL","No","At least two international cultural festivals","20.5","15.25","19.81","18.26","23.97","17.03","26.03","4.21","10.00","19.02","20.64","23.60","8.16"
"ITF45","IT037C1","IT","Lecce","96","5","5","5","S-M","No","European Capital of Culture","21.17","13.61","19.48","17.81","27.44","14.90","21.39","3.51","10.89","22.85","13.52","25.27","22.80"
"ITF52","IT054C1","IT","Matera","97","5","4","5","S-M","No","European Capital of Culture","30.91","14.4","12.42","20.61","44.42","17.40","24.56","3.40","9.74","1.88","17.44","22.25","26.96"
"ITG27","IT027C1","IT","Cagliari","98","4","5","4","S-M","No","European Capital of Culture","27.44","19.27","17.1","22.1","36.53","18.35","29.05","15.71","11.28","20.23","11.85","18.61","29.61"
"ITH20","IT014C1","IT","Trento","99","2","4","4","S-M","No","At least two international cultural festivals","29.12","16.41","29.37","24.09","33.79","24.45","29.43","7.27","7.96","28.89","19.91","37.80","83.52"
"ITH35","IT011C1","IT","Venice","100","3","4","3","L","No","At least two international cultural festivals","44.71","20.61","28.04","31.74","62.85","26.57","34.26","13.71","10.41","23.29","23.22","44.47","55.35"
